,Name,date,test,value
100,Phoebe,2020-10-05,test1,0.6
101,Monica,2020-06-29,test1,0.8
102,Phoebe,2020-05-27,test1,0.3
103,Chandler,2020-07-10,test1,0.6
104,Ross,2020-01-10,test1,0.4
105,Ross,2021-05-04,test1,1.0
106,Rachel,2021-04-23,test1,0.8
107,Phoebe,2021-01-07,test1,0.9
108,Joey,2020-02-14,test1,0.6
109,Chandler,2020-12-04,test1,1.0
110,Monica,2020-02-09,test1,0.9
111,Rachel,2020-10-12,test1,0.4
112,Joey,2020-08-17,test1,1.0
113,Chandler,2020-08-28,test1,0.7
114,Joey,2021-05-13,test1,1.0
115,Chandler,2020-10-25,test1,0.2
116,Phoebe,2021-02-11,test1,0.9
117,Chandler,2020-11-05,test1,0.5
118,Chandler,2020-07-28,test1,0.4
119,Rachel,2020-03-25,test1,0.4
120,Phoebe,2021-01-15,test1,0.4
121,Phoebe,2020-06-02,test1,0.6
122,Chandler,2021-01-28,test1,0.1
123,Ross,2021-04-28,test1,0.2
124,Chandler,2020-02-06,test1,1.0
125,Phoebe,2020-08-03,test1,0.8
126,Chandler,2020-07-23,test1,0.9
127,Rachel,2020-01-20,test1,1.0
128,Monica,2021-02-12,test1,0.9
129,Monica,2020-05-12,test1,0.4
130,Ross,2021-03-07,test1,0.4
131,Phoebe,2020-08-07,test1,0.3
132,Phoebe,2020-07-14,test1,0.3
133,Rachel,2020-01-26,test1,0.4
134,Joey,2020-09-08,test1,0.0
135,Rachel,2020-08-14,test1,0.0
136,Rachel,2020-06-19,test1,0.6
137,Ross,2020-12-20,test1,0.7
138,Monica,2020-05-14,test1,0.6
139,Chandler,2020-06-20,test1,1.0
140,Rachel,2020-05-03,test1,0.0
141,Monica,2020-08-19,test1,0.6
142,Rachel,2020-03-10,test1,0.1
143,Monica,2021-04-21,test1,0.7
144,Monica,2020-07-31,test1,0.2
145,Chandler,2020-07-29,test1,0.9
146,Joey,2020-12-28,test1,0.2
147,Phoebe,2020-08-26,test1,0.1
148,Chandler,2020-01-30,test1,0.9
149,Rachel,2020-02-11,test1,0.7
150,Ross,2021-05-09,test1,0.8
151,Monica,2020-12-18,test1,0.9
152,Ross,2020-01-25,test1,0.9
153,Ross,2020-12-23,test1,1.0
154,Rachel,2020-11-02,test1,0.0
155,Joey,2020-08-04,test1,0.3
156,Ross,2021-01-16,test1,0.5
157,Ross,2021-03-12,test1,0.4
158,Ross,2020-02-05,test1,0.8
159,Chandler,2020-11-15,test1,0.2
160,Joey,2021-03-08,test1,0.9
161,Monica,2020-01-28,test1,0.7
162,Ross,2021-03-13,test1,0.5
163,Rachel,2021-03-16,test1,1.0
164,Ross,2021-03-11,test1,0.1
165,Ross,2020-09-05,test1,0.5
166,Ross,2020-07-26,test1,0.8
167,Ross,2020-04-30,test1,0.2
168,Phoebe,2020-04-11,test1,0.0
169,Monica,2020-05-22,test1,0.6
170,Chandler,2020-08-11,test1,0.3
171,Chandler,2020-01-27,test1,0.5
172,Monica,2020-03-04,test1,0.3
173,Chandler,2021-02-14,test1,0.1
174,Phoebe,2021-04-27,test1,0.2
175,Joey,2020-04-18,test1,0.8
176,Rachel,2020-04-06,test1,0.5
177,Phoebe,2020-04-04,test1,0.7
178,Chandler,2021-04-11,test1,0.7
179,Monica,2020-10-28,test1,0.3
180,Joey,2020-11-03,test1,0.9
181,Monica,2021-02-04,test1,0.9
182,Rachel,2020-07-30,test1,0.1
183,Chandler,2021-01-22,test1,0.8
184,Joey,2020-01-15,test1,0.5
185,Chandler,2020-07-18,test1,0.8
186,Ross,2020-07-22,test1,0.7
187,Monica,2021-02-23,test1,0.5
188,Rachel,2020-10-19,test1,0.2
189,Joey,2020-07-02,test1,0.9
190,Phoebe,2020-05-30,test1,0.8
191,Monica,2020-10-14,test1,0.5
192,Chandler,2020-01-03,test1,0.1
193,Ross,2020-06-24,test1,0.3
194,Ross,2021-02-19,test1,0.5
195,Joey,2020-04-29,test1,0.5
196,Monica,2021-04-24,test1,0.1
197,Rachel,2021-01-21,test1,0.9
198,Monica,2020-04-20,test1,1.0
199,Joey,2020-02-08,test1,0.7
200,Phoebe,2021-02-05,test1,0.0
201,Rachel,2020-12-22,test1,0.2
202,Ross,2020-03-27,test1,0.4
203,Rachel,2020-05-07,test1,0.2
204,Monica,2020-12-24,test1,0.8
205,Phoebe,2020-05-08,test1,1.0
206,Phoebe,2020-02-21,test1,0.8
207,Phoebe,2020-11-04,test1,0.5
208,Phoebe,2020-01-07,test1,0.6
209,Joey,2021-01-01,test1,0.4
210,Joey,2021-03-10,test1,0.4
211,Joey,2021-03-14,test1,0.0
212,Chandler,2020-11-23,test1,0.5
213,Joey,2020-02-15,test1,0.9
214,Joey,2020-11-17,test1,0.3
215,Phoebe,2021-04-29,test1,0.7
216,Monica,2020-04-25,test1,0.2
217,Joey,2020-06-27,test1,0.9
218,Ross,2020-02-25,test1,0.2
219,Chandler,2020-11-16,test1,0.6
220,Ross,2021-02-02,test1,0.6
221,Phoebe,2020-12-13,test1,0.9
222,Monica,2020-10-03,test1,0.5
223,Monica,2020-10-23,test1,0.5
224,Chandler,2020-05-21,test1,1.0
225,Monica,2020-06-22,test1,0.3
226,Chandler,2020-11-24,test1,0.1
227,Phoebe,2021-02-28,test1,0.9
228,Joey,2021-01-17,test1,0.3
229,Joey,2020-06-03,test1,0.8
230,Rachel,2021-05-12,test1,0.7
231,Phoebe,2020-04-24,test1,0.8
232,Joey,2021-03-21,test1,0.5
233,Monica,2020-12-09,test1,0.2
234,Chandler,2020-06-28,test1,0.2
235,Ross,2020-11-07,test1,0.5
236,Ross,2021-05-03,test1,0.8
237,Rachel,2021-01-23,test1,0.1
238,Joey,2020-04-21,test1,0.8
239,Ross,2020-10-27,test1,0.3
240,Joey,2020-03-31,test1,0.2
241,Phoebe,2021-03-25,test1,0.8
242,Phoebe,2020-01-13,test1,0.7
243,Monica,2020-09-23,test1,0.5
244,Rachel,2021-01-30,test1,0.1
245,Phoebe,2020-06-10,test1,0.0
246,Rachel,2020-11-08,test1,0.4
247,Rachel,2021-04-01,test1,0.5
248,Rachel,2020-06-16,test1,1.0
249,Rachel,2020-10-04,test1,0.1
250,Joey,2021-01-09,test1,0.4
251,Ross,2020-11-01,test1,0.0
252,Phoebe,2020-08-01,test1,1.0
253,Chandler,2021-01-27,test1,0.6
254,Joey,2020-09-30,test1,0.5
255,Ross,2020-03-12,test1,0.9
256,Chandler,2020-04-17,test1,0.7
257,Ross,2020-06-23,test1,0.1
258,Ross,2020-09-10,test1,0.1
259,Ross,2020-11-28,test1,0.4
260,Joey,2020-04-07,test1,0.4
261,Joey,2021-01-04,test1,1.0
262,Rachel,2020-10-13,test1,0.2
263,Chandler,2020-12-05,test1,0.6
264,Monica,2020-12-03,test1,0.1
265,Ross,2020-09-19,test1,0.8
266,Monica,2020-01-29,test1,0.2
267,Monica,2020-01-12,test1,1.0
268,Joey,2020-09-22,test1,0.6
269,Joey,2020-10-26,test1,0.1
270,Joey,2020-12-15,test1,0.0
271,Rachel,2020-11-20,test1,0.6
272,Ross,2020-09-28,test1,0.7
273,Monica,2020-02-29,test1,0.5
274,Joey,2021-01-19,test1,0.2
275,Rachel,2020-02-10,test1,0.3
276,Rachel,2020-12-02,test1,0.1
277,Rachel,2020-12-26,test1,0.4
278,Joey,2021-02-08,test1,0.3
279,Ross,2021-03-17,test1,0.4
280,Ross,2020-03-24,test1,0.0
281,Ross,2021-01-29,test1,0.5
282,Ross,2020-12-17,test1,0.2
283,Phoebe,2021-02-22,test1,0.5
284,Phoebe,2020-09-24,test1,0.4
285,Joey,2020-04-09,test1,0.5
286,Rachel,2020-09-02,test1,0.9
287,Ross,2021-04-30,test1,0.2
288,Joey,2020-09-18,test1,0.8
289,Monica,2020-05-25,test1,0.1
290,Monica,2020-07-21,test1,0.3
291,Chandler,2020-10-31,test1,0.9
292,Ross,2021-03-05,test1,0.9
293,Phoebe,2020-05-01,test1,0.0
294,Ross,2020-09-16,test1,0.8
295,Ross,2020-03-21,test1,0.2
296,Phoebe,2020-09-20,test1,0.0
297,Rachel,2020-06-21,test1,0.9
298,Phoebe,2021-01-03,test1,0.9
299,Rachel,2021-03-15,test1,0.2
300,Monica,2021-02-01,test1,0.0
301,Rachel,2020-02-07,test1,0.7
302,Rachel,2021-04-06,test1,0.5
303,Phoebe,2021-04-15,test1,0.4
304,Phoebe,2020-07-24,test1,0.9
305,Joey,2020-03-18,test1,0.1
306,Chandler,2021-01-24,test1,1.0
307,Monica,2020-07-20,test1,0.0
308,Monica,2020-12-21,test1,0.3
309,Monica,2021-03-22,test1,0.0
310,Phoebe,2020-06-06,test1,0.4
311,Joey,2020-08-10,test1,0.6
312,Joey,2020-06-26,test1,0.9
313,Phoebe,2020-03-06,test1,0.7
314,Phoebe,2020-09-01,test1,0.6
315,Monica,2020-09-27,test1,0.6
316,Monica,2021-01-13,test1,0.6
317,Chandler,2021-04-17,test1,0.4
318,Phoebe,2020-12-12,test1,0.0
319,Phoebe,2021-05-02,test1,0.9
320,Phoebe,2020-03-22,test1,0.4
321,Chandler,2020-07-17,test1,0.3
322,Ross,2020-11-26,test1,0.3
323,Monica,2020-02-13,test1,0.9
324,Monica,2021-04-19,test1,0.0
325,Rachel,2021-03-01,test1,1.0
326,Joey,2020-03-09,test1,0.6
327,Ross,2020-12-31,test1,0.3
328,Monica,2021-04-10,test1,0.3
329,Ross,2021-04-12,test1,0.4
330,Monica,2020-11-18,test1,0.6
331,Chandler,2020-10-30,test1,0.2
332,Joey,2021-02-03,test1,0.2
333,Joey,2020-05-20,test1,0.4
334,Monica,2020-09-25,test1,1.0
335,Monica,2020-05-17,test1,0.1
336,Rachel,2021-04-03,test1,0.8
337,Ross,2021-02-27,test1,0.3
338,Ross,2021-01-08,test1,0.9
339,Chandler,2020-03-28,test1,0.7
340,Monica,2021-02-25,test1,0.3
341,Monica,2020-11-10,test1,0.8
342,Monica,2020-02-28,test1,0.4
343,Rachel,2020-09-09,test1,0.4
344,Chandler,2020-11-27,test1,0.9
345,Phoebe,2021-02-09,test1,0.4
346,Chandler,2020-03-15,test1,0.1
347,Joey,2020-01-14,test1,1.0
348,Ross,2020-05-09,test1,0.9
349,Rachel,2020-03-30,test1,0.2
350,Rachel,2021-01-25,test1,0.6
351,Joey,2020-02-27,test1,0.3
352,Phoebe,2020-08-02,test1,0.0
353,Ross,2020-09-04,test1,0.7
354,Rachel,2021-05-05,test1,0.7
355,Phoebe,2020-06-17,test1,0.2
356,Ross,2020-03-02,test1,0.3
357,Joey,2021-04-25,test1,0.1
358,Ross,2020-02-24,test1,0.7
359,Ross,2020-07-08,test1,0.5
360,Chandler,2020-06-15,test1,0.9
361,Phoebe,2020-08-16,test1,0.7
362,Monica,2021-04-05,test1,0.7
363,Rachel,2021-05-14,test1,0.0
364,Monica,2020-07-25,test1,0.5
365,Rachel,2020-01-01,test1,0.7
366,Phoebe,2020-06-25,test1,0.9
367,Rachel,2020-06-11,test1,0.1
368,Rachel,2021-03-23,test1,0.7
369,Phoebe,2020-09-14,test1,0.9
370,Rachel,2020-03-14,test1,0.4
371,Chandler,2020-09-17,test1,0.0
372,Rachel,2021-04-22,test1,0.8
373,Chandler,2020-08-05,test1,0.0
374,Joey,2021-03-18,test1,0.0
375,Ross,2021-01-02,test1,0.5
376,Phoebe,2021-03-24,test1,0.7
377,Chandler,2020-06-13,test1,0.8
378,Rachel,2020-05-26,test1,0.4
379,Chandler,2020-08-31,test1,0.0
380,Monica,2020-03-13,test1,0.0
381,Phoebe,2020-03-07,test1,0.7
382,Rachel,2020-07-01,test1,0.5
383,Joey,2020-01-16,test1,0.0
384,Chandler,2020-10-01,test1,0.3
385,Phoebe,2021-02-24,test1,0.2
386,Chandler,2020-10-06,test1,0.7
387,Monica,2020-02-17,test1,0.7
388,Phoebe,2021-03-29,test1,0.9
389,Rachel,2020-05-24,test1,0.5
390,Phoebe,2021-03-09,test1,0.3
391,Phoebe,2020-07-15,test1,0.3
392,Phoebe,2020-07-16,test1,0.3
393,Phoebe,2021-02-16,test1,0.1
394,Joey,2021-03-20,test1,0.2
395,Monica,2021-01-11,test1,0.2
396,Monica,2020-05-19,test1,1.0
397,Ross,2021-03-31,test1,0.5
398,Joey,2020-11-09,test1,0.1
399,Chandler,2020-03-08,test1,0.5
400,Rachel,2020-10-24,test1,0.7
401,Joey,2020-02-20,test1,0.3
402,Chandler,2020-10-20,test1,0.0
403,Ross,2020-11-13,test1,0.8
404,Ross,2020-04-13,test1,1.0
405,Phoebe,2021-03-26,test1,0.8
406,Rachel,2021-02-17,test1,0.8
407,Ross,2020-12-29,test1,0.0
408,Monica,2020-12-10,test1,0.3
409,Chandler,2020-08-09,test1,0.3
410,Monica,2020-08-20,test1,0.6
411,Monica,2020-07-11,test1,0.5
412,Monica,2020-07-27,test1,0.5
413,Monica,2021-01-26,test1,0.1
414,Phoebe,2020-12-07,test1,0.0
415,Ross,2020-01-18,test1,0.1
416,Phoebe,2020-11-29,test1,0.0
417,Ross,2020-03-16,test1,0.4
418,Phoebe,2020-12-01,test1,0.4
419,Chandler,2020-06-05,test1,0.3
420,Rachel,2020-04-01,test1,0.0
421,Joey,2020-06-30,test1,0.4
422,Chandler,2020-01-23,test1,0.4
423,Monica,2020-04-16,test1,0.7
424,Joey,2021-02-10,test1,0.2
425,Monica,2020-01-11,test1,0.0
426,Chandler,2021-04-14,test1,0.8
427,Joey,2020-08-24,test1,0.7
428,Phoebe,2020-02-26,test1,0.1
429,Chandler,2021-03-03,test1,0.0
430,Chandler,2021-05-01,test1,1.0
431,Chandler,2020-02-23,test1,0.2
432,Rachel,2020-06-14,test1,0.1
433,Joey,2021-01-20,test1,1.0
434,Rachel,2020-02-04,test1,0.5
435,Monica,2021-03-19,test1,0.0
436,Joey,2020-04-22,test1,0.0
437,Rachel,2020-04-27,test1,0.4
438,Joey,2021-02-15,test1,0.5
439,Ross,2020-12-27,test1,0.2
440,Rachel,2020-04-03,test1,1.0
441,Phoebe,2020-04-19,test1,0.5
442,Chandler,2020-05-23,test1,0.9
443,Joey,2020-10-29,test1,0.1
444,Joey,2020-10-07,test1,0.1
445,Rachel,2020-01-06,test1,1.0
446,Ross,2020-01-21,test1,0.6
447,Ross,2020-06-18,test1,0.5
448,Monica,2021-01-18,test1,0.0
449,Ross,2020-12-08,test1,0.1
450,Chandler,2020-02-01,test1,0.1
451,Monica,2020-11-30,test1,0.6
452,Phoebe,2020-10-02,test1,0.7
453,Ross,2020-08-23,test1,0.6
454,Rachel,2020-07-09,test1,0.7
455,Ross,2021-02-26,test1,0.8
456,Ross,2020-12-25,test1,0.2
457,Chandler,2021-05-11,test1,0.6
458,Monica,2020-01-19,test1,0.9
459,Joey,2020-01-08,test1,0.7
460,Chandler,2020-05-04,test1,0.7
461,Rachel,2020-01-24,test1,0.4
462,Phoebe,2020-08-06,test1,0.7
463,Joey,2020-09-15,test1,0.4
464,Monica,2021-05-10,test1,0.7
465,Phoebe,2020-09-13,test1,0.4
466,Joey,2020-12-11,test1,0.5
467,Joey,2020-03-11,test1,0.1
468,Monica,2020-05-15,test1,0.6
469,Phoebe,2020-10-22,test1,0.0
470,Ross,2020-06-01,test1,0.2
471,Chandler,2020-09-21,test1,0.7
472,Ross,2020-05-10,test1,0.9
473,Joey,2020-03-05,test1,0.1
474,Ross,2020-05-02,test1,0.9
475,Ross,2020-10-15,test1,0.2
476,Ross,2020-11-12,test1,0.3
477,Rachel,2020-07-05,test1,1.0
478,Rachel,2020-05-28,test1,0.0
479,Chandler,2020-08-12,test1,0.3
480,Chandler,2020-04-26,test1,0.1
481,Rachel,2021-02-18,test1,0.9
482,Chandler,2020-03-23,test1,0.6
483,Rachel,2020-05-18,test1,0.5
484,Joey,2020-02-19,test1,0.8
485,Rachel,2021-04-20,test1,0.3
486,Monica,2020-07-06,test1,0.0
487,Monica,2020-05-31,test1,0.5
488,Monica,2020-12-16,test1,0.3
489,Monica,2020-01-22,test1,0.1
490,Joey,2020-11-22,test1,0.2
491,Joey,2021-04-18,test1,0.9
492,Chandler,2021-04-08,test1,0.0
493,Joey,2021-03-06,test1,0.5
494,Monica,2020-08-15,test1,0.1
495,Monica,2020-04-08,test1,0.2
496,Joey,2020-12-30,test1,0.2
497,Joey,2021-04-16,test1,0.9
498,Chandler,2020-08-25,test1,0.9
499,Rachel,2021-05-07,test1,0.9
500,Joey,2020-05-29,test2,0.7111111111111111
501,Chandler,2021-04-07,test2,0.7777777777777778
502,Rachel,2021-05-06,test2,0.1111111111111111
503,Joey,2020-10-10,test2,0.6111111111111112
504,Ross,2020-08-27,test2,0.16666666666666666
505,Rachel,2020-01-04,test2,0.3
506,Phoebe,2020-10-18,test2,0.06666666666666667
507,Rachel,2020-07-07,test2,0.8888888888888888
508,Chandler,2020-12-06,test2,0.7222222222222222
509,Phoebe,2021-01-06,test2,0.9
510,Monica,2020-08-13,test2,0.23333333333333334
511,Chandler,2020-09-06,test2,0.8555555555555555
512,Chandler,2020-05-11,test2,0.5111111111111111
513,Joey,2020-06-07,test2,0.36666666666666664
514,Phoebe,2021-04-09,test2,0.8777777777777778
515,Monica,2020-06-08,test2,0.6888888888888889
516,Monica,2020-10-17,test2,0.6
517,Monica,2021-04-26,test2,0.26666666666666666
518,Joey,2020-05-16,test2,0.08888888888888889
519,Ross,2020-12-19,test2,0.2777777777777778
520,Monica,2020-07-19,test2,0.6888888888888889
521,Ross,2020-09-07,test2,0.6
522,Ross,2020-01-02,test2,0.8888888888888888
523,Phoebe,2021-01-31,test2,0.7555555555555555
524,Joey,2020-11-11,test2,0.37777777777777777
525,Chandler,2020-08-29,test2,0.0
526,Monica,2020-03-29,test2,0.5888888888888889
527,Monica,2021-03-02,test2,0.5555555555555556
528,Ross,2020-02-18,test2,0.7222222222222222
529,Ross,2020-06-04,test2,0.011111111111111112
530,Chandler,2021-01-10,test2,0.15555555555555556
531,Phoebe,2021-02-07,test2,0.6777777777777778
532,Ross,2020-02-02,test2,0.4111111111111111
533,Phoebe,2020-03-01,test2,0.5222222222222223
534,Joey,2020-11-19,test2,0.4111111111111111
535,Chandler,2020-03-20,test2,0.7111111111111111
536,Joey,2021-05-08,test2,0.6555555555555556
537,Joey,2020-09-26,test2,0.6888888888888889
538,Phoebe,2020-04-02,test2,0.5777777777777777
539,Joey,2021-02-06,test2,0.12222222222222222
540,Phoebe,2020-09-29,test2,0.5666666666666667
541,Ross,2020-02-16,test2,0.08888888888888889
542,Chandler,2020-01-17,test2,0.022222222222222223
543,Rachel,2020-10-08,test2,0.32222222222222224
544,Rachel,2020-10-11,test2,0.25555555555555554
545,Chandler,2021-03-27,test2,0.8555555555555555
546,Rachel,2020-12-14,test2,0.6555555555555556
547,Rachel,2020-01-05,test2,0.5333333333333333
548,Monica,2020-04-12,test2,0.6555555555555556
549,Joey,2020-03-03,test2,0.06666666666666667
550,Monica,2020-09-11,test2,0.011111111111111112
551,Rachel,2021-02-21,test2,0.011111111111111112
552,Chandler,2020-01-09,test2,0.7444444444444445
553,Phoebe,2020-05-05,test2,0.022222222222222223
554,Chandler,2020-05-06,test2,0.5555555555555556
555,Phoebe,2020-03-26,test2,0.28888888888888886
556,Rachel,2021-03-04,test2,0.7333333333333333
557,Rachel,2020-07-13,test2,0.1
558,Rachel,2020-02-22,test2,0.4888888888888889
559,Chandler,2021-03-28,test2,0.4222222222222222
560,Chandler,2020-01-31,test2,0.3111111111111111
561,Ross,2021-04-04,test2,0.9777777777777777
562,Rachel,2020-08-21,test2,0.7333333333333333
563,Monica,2020-11-25,test2,0.9777777777777777
564,Chandler,2020-03-17,test2,0.15555555555555556
565,Phoebe,2020-03-19,test2,0.26666666666666666
566,Monica,2020-04-10,test2,0.7333333333333333
567,Joey,2020-02-12,test2,0.6111111111111112
568,Chandler,2020-10-16,test2,0.5777777777777777
569,Chandler,2020-11-21,test2,1.0
570,Joey,2021-02-13,test2,0.43333333333333335
571,Joey,2020-08-30,test2,0.9
572,Chandler,2020-07-04,test2,0.6777777777777778
573,Phoebe,2020-05-13,test2,0.6111111111111112
574,Phoebe,2021-01-05,test2,0.05555555555555555
575,Rachel,2020-04-28,test2,0.7111111111111111
576,Joey,2020-02-03,test2,0.3333333333333333
577,Phoebe,2020-10-21,test2,0.6111111111111112
578,Ross,2020-07-03,test2,0.9666666666666667
579,Chandler,2020-11-14,test2,0.32222222222222224
580,Joey,2020-06-09,test2,0.9444444444444444
581,Monica,2020-08-22,test2,0.011111111111111112
582,Ross,2020-04-05,test2,0.37777777777777777
583,Chandler,2020-04-14,test2,0.45555555555555555
584,Rachel,2020-04-23,test2,0.35555555555555557
585,Rachel,2021-04-02,test2,0.3888888888888889
586,Phoebe,2020-07-12,test2,0.5555555555555556
587,Phoebe,2020-06-12,test2,0.7777777777777778
588,Rachel,2021-04-13,test2,0.15555555555555556
589,Ross,2021-02-20,test2,0.32222222222222224
590,Phoebe,2020-09-03,test2,0.3333333333333333
591,Joey,2020-11-06,test2,0.13333333333333333
592,Ross,2020-09-12,test2,0.2
593,Chandler,2021-01-14,test2,0.36666666666666664
594,Rachel,2020-04-15,test2,0.6
595,Phoebe,2021-03-30,test2,0.3
596,Chandler,2020-08-18,test2,0.8
597,Chandler,2020-10-09,test2,0.8444444444444444
598,Phoebe,2020-08-08,test2,0.6666666666666666
599,Ross,2021-01-12,test2,0.9444444444444444
600,Phoebe,2020-10-05,test2,0.45555555555555555
601,Monica,2020-06-29,test2,0.9888888888888889
602,Phoebe,2020-05-27,test2,0.8222222222222222
603,Chandler,2020-07-10,test2,0.9666666666666667
604,Ross,2020-01-10,test2,0.6666666666666666
605,Ross,2021-05-04,test2,0.9555555555555556
606,Rachel,2021-04-23,test2,0.2222222222222222
607,Phoebe,2021-01-07,test2,0.03333333333333333
608,Joey,2020-02-14,test2,0.8555555555555555
609,Chandler,2020-12-04,test2,0.4222222222222222
610,Monica,2020-02-09,test2,0.7666666666666667
611,Rachel,2020-10-12,test2,0.07777777777777778
612,Joey,2020-08-17,test2,0.044444444444444446
613,Chandler,2020-08-28,test2,0.9888888888888889
614,Joey,2021-05-13,test2,0.7333333333333333
615,Chandler,2020-10-25,test2,0.7888888888888889
616,Phoebe,2021-02-11,test2,0.5555555555555556
617,Chandler,2020-11-05,test2,0.18888888888888888
618,Chandler,2020-07-28,test2,0.6222222222222222
619,Rachel,2020-03-25,test2,0.35555555555555557
620,Phoebe,2021-01-15,test2,0.45555555555555555
621,Phoebe,2020-06-02,test2,0.4777777777777778
622,Chandler,2021-01-28,test2,0.8333333333333334
623,Ross,2021-04-28,test2,0.9111111111111111
624,Chandler,2020-02-06,test2,0.9222222222222223
625,Phoebe,2020-08-03,test2,0.4666666666666667
626,Chandler,2020-07-23,test2,0.8222222222222222
627,Rachel,2020-01-20,test2,0.9333333333333333
628,Monica,2021-02-12,test2,0.24444444444444444
629,Monica,2020-05-12,test2,0.9111111111111111
630,Ross,2021-03-07,test2,0.5333333333333333
631,Phoebe,2020-08-07,test2,0.4
632,Phoebe,2020-07-14,test2,0.7666666666666667
633,Rachel,2020-01-26,test2,0.4
634,Joey,2020-09-08,test2,0.2777777777777778
635,Rachel,2020-08-14,test2,0.4777777777777778
636,Rachel,2020-06-19,test2,0.6111111111111112
637,Ross,2020-12-20,test2,0.6444444444444445
638,Monica,2020-05-14,test2,0.15555555555555556
639,Chandler,2020-06-20,test2,0.7666666666666667
640,Rachel,2020-05-03,test2,0.7333333333333333
641,Monica,2020-08-19,test2,0.5
642,Rachel,2020-03-10,test2,0.14444444444444443
643,Monica,2021-04-21,test2,0.8555555555555555
